DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2011,31.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2012,31.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2013,31.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2014,31.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2015,31.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2016,32,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2017,32.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2018,32.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,ES,2019,32.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2007,2008,29.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2007,2009,29.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2007,2010,30,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2007,2011,30.1,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2007,2012,30.2,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2007,2013,30.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2007,2014,30.4,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2007,2015,30.5,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2007,2016,30.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2007,2017,30.7,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2007,2018,30.8,ep
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2020,2008,29.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2020,2009,29.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2020,2010,30,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2020,2011,30.2,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2020,2012,30.2,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2020,2013,30.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2020,2014,30.4,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2020,2015,30.5,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2020,2016,30.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2020,2017,30.7,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2020,2018,30.8,ep
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU27_2020,2019,30.9,bep
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU28,2008,29.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU28,2009,29.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU28,2010,29.9,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU28,2011,30.1,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU28,2012,30.1,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU28,2013,30.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU28,2014,30.4,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU28,2015,30.5,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU28,2016,30.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU28,2017,30.7,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,EU28,2018,30.8,ep
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FI,2008,30.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FI,2009,30.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FI,2010,30.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FI,2011,30.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FI,2012,30.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FI,2013,30.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FI,2014,30.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FI,2015,30.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FI,2016,30.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FI,2017,30.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FI,2018,31,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FI,2019,31.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FR,2008,29.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FR,2009,29.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FR,2010,30,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FR,2011,30,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FR,2012,30.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FR,2013,30.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FR,2014,30.3,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FR,2015,30.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FR,2016,30.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FR,2017,30.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FR,2018,30.6,p
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FR,2019,30.7,p
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FX,2008,29.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FX,2009,29.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FX,2010,30,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FX,2011,30.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,FX,2012,30.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,GE,2008,26.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,GE,2009,26.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,GE,2010,26.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,GE,2014,27,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,GE,2015,27.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,GE,2016,27.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,GE,2017,27.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,GE,2018,27.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,GE,2019,28.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HR,2008,28.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HR,2009,28.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HR,2010,29.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HR,2011,29.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HR,2012,29.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HR,2013,29.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HR,2014,29.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HR,2015,29.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HR,2016,30.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HR,2017,30.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HR,2018,30.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HR,2019,30.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HU,2008,28.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HU,2009,29.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HU,2010,29.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HU,2011,29.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HU,2012,29.4,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HU,2013,29.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HU,2014,29.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HU,2015,29.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HU,2016,29.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HU,2017,29.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HU,2018,29.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,HU,2019,29.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IE,2008,31.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IE,2009,31.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IE,2010,31.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IE,2011,31.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IE,2012,31.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IE,2013,31.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IE,2014,31.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IE,2015,31.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IE,2016,32.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IE,2017,32.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IE,2018,32.2,e
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IE,2019,32.4,e
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IS,2008,29.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IS,2009,29.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IS,2010,30,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IS,2011,30.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IS,2012,30.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IS,2013,30.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IS,2014,30.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IS,2015,30.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IS,2016,30.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IS,2017,30.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IS,2018,30.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IS,2019,30.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IT,2008,31.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IT,2009,31.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IT,2010,31.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IT,2011,31.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IT,2012,31.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IT,2013,31.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IT,2014,31.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IT,2015,31.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IT,2016,31.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IT,2017,31.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IT,2018,32,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,IT,2019,32.1,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LI,2008,31.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LI,2009,31.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LI,2010,31.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LI,2011,31.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LI,2012,32.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LI,2013,31.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LI,2014,32.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LI,2015,31.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LI,2016,32.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LI,2017,31.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LI,2018,32.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LI,2019,32.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LT,2008,28.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LT,2009,28.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LT,2010,28.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LT,2011,28.9,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LT,2012,29,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LT,2013,29.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LT,2014,29.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LT,2015,29.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LT,2016,29.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LT,2017,29.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LT,2018,30.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LT,2019,30.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LU,2008,30.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LU,2009,30.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LU,2010,30.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LU,2011,30.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LU,2012,31,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LU,2013,31.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LU,2014,31.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LU,2015,31.5,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LU,2016,31.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LU,2017,31.9,b
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LU,2018,32.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LU,2019,32.3,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LV,2008,28.1,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LV,2009,28.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LV,2010,28.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LV,2011,28.7,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LV,2012,28.8,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LV,2013,29,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LV,2014,29.2,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LV,2015,29.4,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LV,2016,29.6,
ESTAT:TPS00017(1.0),28/06/21 23:00:00,A,AGEMOTH,LV,2017,29.7,
